system:index,MAP,MAT,areaHa,aspect,class,elev,lat,long,precip,precip_drymo,precip_wetmo,sharedlat,sharedlong,slope,soil,.geo
550,1175.9931493397728,227.0,28.87681334040581,229.71639652961522,1.0,626.7171821027947,-18.705819171569885,-44.83070072862156,1197.4334106445312,4.0,273.9961645544762,-18.70686004869963,-44.84133482949036,1.3133397257425399,LVd3,
551,1178.6381255063259,226.11584719885346,21.440115650808373,246.81543279117614,1.0,639.7370069171811,-18.696391328473037,-44.83091150498461,1200.267108500038,4.0,273.99283355144286,-18.70686004869963,-44.84133482949036,2.71954259363121,LVd3,
552,1182.0,225.0,14.824361289347166,230.16594633531426,10.0,657.7858589951379,-18.695949792509946,-44.819880149810025,1200.6383972167969,4.0,276.0,-18.70686004869963,-44.84133482949036,2.028340536646858,LVd3,
6380,1204.3541701386264,221.09521248390286,44.01973611140116,75.87863040678741,2.0,732.7857586546476,-18.6538222187169,-44.77801930849212,1181.448715209961,4.020657525945005,282.11587000984787,-18.66858914373384,-44.78175585109166,2.4482387697901684,LVAd1,
553,1207.6231292336656,220.55391916433578,25.17806610781815,111.13036043320918,10.0,749.8538250460649,-18.674474805713903,-44.78658270125928,1181.448715209961,5.0,281.0181608494507,-18.66858914373384,-44.78175585109166,2.7854501106883878,LVAd1,
554,1209.8796974894744,220.28174021518782,21.40147318959149,210.85964447216583,10.0,737.1255886480586,-18.66378067438358,-44.77672325591945,1181.448715209961,4.85912989240605,282.00241696553866,-18.66858914373384,-44.78175585109166,2.1627631373772025,LVAd1,
6405,1201.9323501258546,221.27503102066856,47.077648754763885,86.11827560534623,2.0,737.3246570000359,-18.657604440478586,-44.76984824243876,1181.448715209961,4.337788492218243,283.0302832630199,-18.66858914373384,-44.78175585109166,2.0908001559896494,LVAd1,
6002,1270.6110017497813,213.08644405560415,27.514478237991117,273.21033829104704,2.0,887.6409546028971,-18.545780783315376,-44.8972925883854,1216.803908742736,5.0,275.91355594439585,-18.55122591967628,-44.890900277309576,4.170931758530184,CXbd12,
6005,1268.877471482889,214.0,10.534819624822088,111.49445500633708,2.0,861.3868187579211,-18.559041106170632,-44.89490549898288,1206.034194946289,5.0,275.8774714828897,-18.55122591967628,-44.890900277309576,4.3052281368821275,RLd3,
5721,1254.8376269252713,218.01451226468927,14.642997312769861,219.74916143753566,2.0,822.2491272104963,-18.543834202122063,-44.98659665671859,1223.4219818115234,4.98494010268112,267.9556417569879,-18.548619451901082,-44.97943300660837,4.776725613234455,CXbd12,
5749,1263.5832595176578,215.99992694530957,36.562630567697994,300.1817052791146,2.0,840.1828376268185,-18.540730750231845,-44.97850437273211,1223.4219818115234,5.0,270.3166372925935,-18.548619451901082,-44.97943300660837,4.935273544156993,CXbd12,
5766,1257.4973072945065,217.2664835864697,65.54464348874394,88.97629298266168,2.0,831.3179583331212,-18.482006925945264,-44.97490209154112,1216.4964752197266,4.350270799048255,267.21446367522447,-18.48814412308641,-44.975359907849345,4.760458753458229,CXbd12,
555,1268.9344687621472,215.3477973946611,36.932116079818435,265.75754617199595,1.0,870.3058968170023,-18.489818246713075,-44.973436354254574,1216.4964752197266,4.99967455862013,270.7151303121524,-18.48814412308641,-44.975359907849345,0.9737929288820186,CXbd12,
5723,1256.8479673454683,217.43040653090614,44.504041593814364,146.69529690712375,2.0,839.4110028962884,-18.479427953085203,-44.984201518314094,1216.4964752197266,4.0,266.5695934690938,-18.48814412308641,-44.975359907849345,4.248945780872487,CXbd12,
5688,1256.7093495934962,218.07457556193205,33.55532736515282,132.95320221584566,2.0,823.6327315479037,-18.447552622811582,-44.99766803514842,1214.019426314355,4.0,265.0053901641957,-18.206300702376158,-44.88456527485125,2.8830703012912484,CXbd12,
556,1266.9622474995092,217.00343204549907,17.046016148064183,112.54700921749362,1.0,844.9102765248088,-18.43755140290019,-44.994901702737096,1214.85498046875,4.0,267.98970386350265,-18.206300702376158,-44.88456527485125,1.908746813100608,CXbd12,
557,1259.9938369877225,217.57400439009098,27.705121963103068,238.08775357599455,10.0,840.4251513616524,-18.434466759539724,-44.9849259792875,1214.85498046875,4.0,266.162614275032,-18.206300702376158,-44.88456527485125,3.0032563861350323,CXbd12,
558,1263.3682186234819,217.77196356275306,19.81146932085814,41.759615384615394,10.0,829.5416160593791,-18.417111374438168,-44.99527948278674,1214.85498046875,4.0,266.45607287449394,-18.206300702376158,-44.88456527485125,3.209632253711202,CXbd12,
559,1264.8130024417067,216.63739951165883,23.39858511970736,203.77789042308632,1.0,853.1700198477861,-18.434107818060873,-44.98014386676669,1214.85498046875,4.0,268.36260048834134,-18.206300702376158,-44.88456527485125,1.9852498108034786,LVAd12,
560,1267.0445415631455,216.07645104319457,22.297563122585395,211.08005807166177,1.0,859.7361481126709,-18.435134903683778,-44.972303323917075,1214.85498046875,4.0,269.847097913611,-18.206300702376158,-44.88456527485125,1.687355943365164,LVAd12,
561,1261.6490965878559,216.64718229446544,19.896367326877318,118.03578385276737,1.0,852.1876679204731,-18.4427046234901,-44.95852406612635,1214.85498046875,4.0,268.6888937399248,-18.206300702376158,-44.88456527485125,2.5288655292853313,CXbd12,
562,1263.6223333333335,216.3967333333335,30.093443847513186,201.8686666666666,1.0,851.7265666666668,-18.43839190794406,-44.9494512033112,1229.6053900817876,4.0,270.1939333333334,-18.206300702376158,-44.88456527485125,2.803544444444445,LVAd12,
5848,1262.2413529815992,216.0,17.508073324425418,46.0482553256471,2.0,860.211575169887,-18.430401330038613,-44.94653272315135,1238.0425872802734,4.0,270.0603382453997,-18.206300702376158,-44.88456527485125,1.8637474230739872,LVAd12,
563,1263.640924838448,215.98552789994844,13.606084987838308,245.79092852404236,10.0,864.6469692130028,-18.4390738525421,-44.93447722425833,1238.0425872802734,4.0,270.9017666281727,-18.206300702376158,-44.88456527485125,2.111059239784761,LVAd12,
564,1258.3586045139825,217.52827909720398,23.797820868920894,78.16591059114346,10.0,827.5712700664324,-18.449399583914758,-44.95307352648963,1215.629307854617,4.0,267.9434418055929,-18.206300702376158,-44.88456527485125,3.445092063313719,CXbd12,
565,1259.1528540487686,217.23508698386104,23.91723215792436,95.5384056452177,1.0,843.589799482988,-18.449687417658566,-44.95711459437367,1215.5366486376083,4.0,268.1065604695035,-18.206300702376158,-44.88456527485125,1.6104520366100774,CXbd12,
566,1259.9483183285204,217.03984768699397,23.597587343589097,129.60797803068908,1.0,849.9402355472512,-18.45538256729153,-44.957593164234574,1216.4964752197266,4.0,268.6136260687391,-18.206300702376158,-44.88456527485125,2.1303295396636655,CXbd12,
567,1249.4431529595624,218.26271407175884,20.536414527286052,83.23534870091818,10.0,821.9891254802376,-18.460078036824488,-44.95196336121935,1222.023600759207,4.0,266.7661978250962,-18.206300702376158,-44.88456527485125,2.9533600312561052,CXbd12,
6019,1255.3701879298235,215.8391105637895,38.51837623711202,228.48471498321896,2.0,851.4024317269251,-18.483078515183287,-44.890003216815074,1218.5720672607422,4.0,272.96172891968524,-18.494064439821667,-44.893470246836976,4.358124691047532,CXbd12,
6006,1257.2746594972987,215.58901260557488,13.169788471704631,172.47987419788473,2.0,851.8443959723036,-18.49010875976114,-44.89328504491829,1218.5720672607422,4.2032870875288495,273.4109873944251,-18.494064439821667,-44.893470246836976,3.4414233900626474,LVAd12,
5970,1271.0,214.0,17.63217054748298,132.85789832821564,2.0,877.879297926382,-18.488038368149283,-44.90450732251716,1235.4492645263672,5.0,275.0,-18.494064439821667,-44.893470246836976,3.299347966185224,LVAd12,
568,1271.2341126876627,213.73524843900213,63.25305887258317,111.41702676147106,10.0,902.7781798396209,-18.496069181097237,-44.89860198421467,1223.0384537523262,4.995145323345765,275.2647515609977,-18.494064439821667,-44.893470246836976,2.493571119164086,CXbd12,
6004,1269.8268524827997,214.0,15.164703224098057,119.50845184973517,2.0,884.1437144176024,-18.497532901676326,-44.89413015018329,1218.0746512418998,5.0,275.0,-18.494064439821667,-44.893470246836976,3.440133646934693,CXbd12,
6050,1268.6797398948715,214.02911455501206,14.73625888347106,78.34081022294731,2.0,894.9879690048944,-18.493710327869653,-44.879756126319215,1218.5720672607422,4.9708854449882205,275.94177088997657,-18.494064439821667,-44.893470246836976,3.177768714881277,LVAd12,
6066,1255.3902519893895,215.4948174950987,46.33850225642658,63.40908632222355,2.0,870.2868397532008,-18.483896061630418,-44.880134343760766,1218.5720672607422,4.0,273.5051825049014,-18.494064439821667,-44.893470246836976,3.444679102756313,CXbd12,
569,1266.2735454872734,215.4316136281815,30.640225650368123,195.20410634607208,8.0,874.1323762041388,-18.411464409549453,-44.9081236301178,1238.0425872802734,4.0,273.13677274363687,-18.206300702376158,-44.88456527485125,1.4683241875129547,LVAd12,
